Row,Address,City,ZIP,Current Name,Units,Year Built,Corrected Name,Source URL,Confidence
113,4295 SUNBEAM RD,Jacksonville,32257,Lyfe Mandarin One Apartments,18,1987,The One @ Mandarin,https://www.theonemandarin.com/,
114,10970 LEM TURNER RD,Jacksonville,32218,Madison Woods,18,2004,Madison Woods,https://lelandenterprisesinc.com/communities/madison-woods/,
115,4229 W MONCRIEF RD,Jacksonville,32209,Millennia Jacksonville Fl Tc Apartments,18,1969,Calloway Cove,https://www.callowaycove.com/,
116,5800 W UNIVERSITY BLVD,Jacksonville,32216,Oasis Club Cgc,18,1972,Oasis Club,https://www.oasisclubapartments.com/,
117,2600 ART MUSEUM DR,Jacksonville,32207,Pottsburg Apartments,18,1973,The Landings at San Marco,https://www.landingsatsanmarco.com/,
118,8450 W GATE PKWY,Jacksonville,32216,Sreit Thornton Park,18,2007,Thornton Park,https://www.epochresidential.com/community/thornton-park/,
119,5615 SEABOARD AVE,Jacksonville,32244,Timuquana Affordable Apartments,18,1981,Timuquana Apartments,https://www.timuquanaapartments.com/,
120,3830 S UNIVERSITY BLVD,Jacksonville,32216,Uc Alux Holder Apartments,18,1968,Alux on University,https://www.apartments.com/alux-on-university-jacksonville-fl/cnf30se/,
121,5800 S BARNES RD,Jacksonville,32216,Arbor Place Ro,17,1970,Arbor Place Apartments,https://www.apartments.com/arbor-place-apartments-jacksonville-fl/e6rb7dp/,
122,8214 E PRINCETON SQUARE BLVD,Jacksonville,32256,Bentley Green Apartments Investors,17,1984,Bentley Green Apartment Homes,https://www.apartments.com/bentley-green-apartment-homes-jacksonville-fl/sh49236/,
123,8343 E PRINCETON SQUARE BLVD,Jacksonville,32256,Bentley Green Apartments Investors,17,1986,Bentley Green Apartment Homes,https://www.apartments.com/bentley-green-apartment-homes-jacksonville-fl/sh49236/,
124,7200 POWERS AVE,Jacksonville,32217,Bridge Wf Ii Fl Pointe Sienna,17,1974,Park @ 7200,https://www.parkat7200.com/,
125,6457 FT CAROLINE RD,Jacksonville,32277,Caroline Arms Preservation Apartments,17,1970,Caroline Arms Apartments,https://www.carolinearms.com/,
126,5501 N UNIVERSITY CLUB BLVD,Jacksonville,32277,Fast Boots Apartments,17,1975,Club at Charter Pointe,https://www.apartments.com/club-at-charter-pointe-jacksonville-fl/v579s1g/,
127,12021 MCCORMICK RD,Jacksonville,32225,Ff Hillwood Apartments,17,1991,Hillwood Pointe Apartments,https://www.hillwoodpointe.net/,
128,8050 ARLINGTON EXPY,Jacksonville,32211,Fort Francis Apartments,17,1973,New Royal Estates Apartments,https://www.apartments.com/new-royal-estates-apartmentes-jacksonville-fl/687ft2v/,
129,12517 BEACH BLVD,Jacksonville,32246,Frmf Apartments,17,2019,The Ridley,https://www.apartments.com/the-ridley-jacksonville-fl/y5ebpws/,
130,2001 HODGES BLVD,Jacksonville,32224,Hodges Blvd Apartments,17,1988,Coastal Bay,https://www.apartments.com/coastal-bay-jacksonville-fl/mhbm5el/,
